user_id,order_id,channel,order_value,date
2896773240947804856,1488541406,(direct),266.23,20170303
8091819011425358061,1488575549,(direct),104.14,20170303
1293859889635603442,1488559452,(direct),99.5,20170303
156905236318704928,1488558018,(direct),166.32,20170303
6944288019130180719,1488547630,(direct),69.99,20170303
4167113770312733608,1488584881,(direct),127.9,20170303
6307220164561637913,1488612857,(direct),54.98,20170303
3857043812510146001,1488557688,google,59.85,20170303
0643575983930852714,1488566069,(direct),314.65,20170303
8452979952112356529,1484398743,(direct),50.97,20170114
9505279375401532282,1484443678,(direct),10.99,20170114
512376512516526849,1484413414,(direct),10.99,20170114
0117006987850476291,1484462565,(direct),3.98,20170114
2478354346693137452,1484462123,(direct),11.18,20170114
5811515226534313470,1484406696,(direct),91.97,20170114
5847645820531531550,1484407885,(direct),18.98,20170114
7703634562564929325,1484404138,dfa,194.93,20170114
173863901552294318,1484399835,dfa,111.16,20170114
0932061680533450083,1484424982,(direct),10.99,20170114
1201830545807654637,1484453948,(direct),15.99,20170114
1481233997478275239,1496158644,(direct),293.81,20170530
320727560379630083,1496186106,(direct),34.85,20170530
2440247376986125183,1496163290,(direct),25.9,20170530
3700513565264541491,1496175279,(direct),39.99,20170530
6432310188343340425,1496184683,(direct),593.55,20170530
7811787934602942622,1496129362,(direct),3.5,20170530
3533773123669464150,1496165975,(direct),108.72,20170530
6247025136768010466,1496178593,(direct),109.18,20170530
7354616878013161932,1496185574,google,139.75,20170530
5377821611338556054,1496171779,google,56.97,20170530
5187692235197224679,1496168276,(direct),63.8,20170530
3857043812510146001,1496167636,google,59.85,20170530
2091880224910053980,1496180445,(direct),44.79,20170530
6026763398386298705,1496188682,(direct),39.19,20170530
8887639477324168725,1496194560,(direct),15.19,20170530
3179620398844632933,1496187290,google,18.99,20170530
9180245817688143793,1496168295,google,14.0,20170530
2154618794882145315,1496175489,google,35.98,20170530
2495704533414117222,1496174304,(direct),215.73,20170530
3803395757897344589,1496179338,(direct),46.03,20170530
3970595310898448417,1496159393,(direct),13.59,20170530
1669683377813905780,1496195172,google,14.69,20170530
8906575148569160903,1496157894,(direct),19.99,20170530
5896165545008252371,1496164231,google,38.93,20170530
4319698081839959433,1496163348,(direct),115.16,20170530
8864604309741280372,1496158709,(direct),20.75,20170530
8299318210630907459,1496144254,google,7.98,20170530
253232075861039593,1496166317,google,231.92,20170530
6190196977487218557,1496167143,(direct),111.96,20170530
155361204971183101,1496172036,(direct),91.92,20170530
6076619018565760000,1496191059,(direct),21.54,20170530
820213601079766570,1496164163,(direct),74.96,20170530
5513556639437908117,1496168650,(direct),1086.86,20170530
7463172420271311409,1496206181,(direct),561.25,20170530
3742332932978201442,1496169194,(direct),554.6,20170530
566055411938639598,1496177254,google,565.06,20170530
8555060882924384609,1496168997,(direct),16.78,20170530
8131657665328866600,1496182190,(direct),171.1,20170530
9110454426797065694,1496165935,(direct),12.31,20170530
4694443488552439139,1472418258,(direct),357.83,20160828
38208004954801781,1472432099,google,43.28,20160828
2217213818593358400,1472407262,google,41.29,20160828
3788077234501576551,1472437846,(direct),24.78,20160828
9075997958759576862,1472400000,google,90.46,20160828
0804081184484847805,1472431327,(direct),42.39,20160828
4310458187512835910,1472419848,bing,29.84,20160828
8879290650006947914,1472444255,(direct),22.77,20160828
376544334500131710,1472392033,(direct),42.71,20160828
5373849628631973654,1472411198,(direct),33.84,20160828
5896536036728324632,1472403925,dealspotr.com,47.79,20160828
7970701992007145468,1472415320,(direct),1131.0,20160828
